maxtempC,mintempC,tstest,c.0..0..c.,,,,,,,,
27,26,27,0,,,,,,,,
27,26,28,0,,,,,,,,
27,26,28,28.2,,,,,,,,
27,26,29,28.1,,,,,,,,
28,26,29,28.8,,,,,,,,
28,26,29,29,,,,,,,,
28,26,30,29.2,,,,,,,,
28,26,30,29.6,,,,,,,,
28,26,28,30.1,,,,,,,,
27,26,29,28.7,,,,,,,,
27,26,28,28.7,,,,,,,,
27,26,26,28.4,,,,,,,,
27,26,28,26.8,,,,,,,,
28,26,27,27.4,,,,,,,,
27,26,27,27.6,,,,,,,,
28,25,27,27,,,,,,,,
28,26,28,27.3,,,,,,,,
28,26,28,27.7,,,,,,,,
28,26,28,28.3,,,,,,,,
27,26,28,28,,,,,,,,
28,26,28,28.2,,,,,,,,
28,25,29,28,,,,,,,,
28,25,28,28.9,,,,,,,,
28,25,28,28.3,,,,,,,,
26,26,26,28.1,,,,,,,,
27,25,28,26.8,,,,,,,,
27,25,29,27.5,,,,,,,,
26,26,27,28.8,,,,,,,,
26,26,28,27.7,,,,,,,,
27,26,28,27.8,,,,,,,,
27,26,29,28.2,,,,,,,,
27,26,29,28.8,,,,,,,,
27,26,30,29.1,,,,,,,,
27,26,29,29.7,,,,,,,,
27,26,30,29.4,,,,,,,,
27,26,29,29.6,,,,,,,,
27,25,30,29.5,,,,,,,,
27,26,31,29.6,,,,,,,,
27,26,31,30.8,,,,,,,,
27,26,31,30.9,,,,,,,,
26,26,31,31.1,,,,,,,,
27,26,31,30.9,,,,,,,,
27,26,31,31.1,,,,,,,,
27,26,31,30.9,,,,,,,,
27,25,31,31.1,,,,,,,,
25,25,31,30.9,,,,,,,,
27,25,31,31.1,,,,,,,,
26,25,30,30.9,,,,,,,,
27,25,29,30.4,,,,,,,,
27,25,30,29.3,,,,,,,,
27,25,31,29.8,,,,,,,,
27,25,31,30.7,,,,,,,,
27,25,31,31,,,,,,,,
27,24,31,30.9,,,,,,,,
27,24,32,31,,,,,,,,
28,25,31,31.6,,,,,,,,
27,25,31,31.3,,,,,,,,
28,24,31,30.9,,,,,,,,
29,25,31,31.1,,,,,,,,
29,25,30,30.9,,,,,,,,
30,25,31,30.4,,,,,,,,
29,25,30,30.6,,,,,,,,
28,26,31,30.4,,,,,,,,
30,26,31,30.6,,,,,,,,
31,26,31,31.1,,,,,,,,
29,26,31,30.9,,,,,,,,
29,26,31,31.1,,,,,,,,
28,25,31,30.9,,,,,,,,
28,25,31,31.1,,,,,,,,
28,26,31,30.9,,,,,,,,
29,26,32,31.1,,,,,,,,
30,26,31,31.6,,,,,,,,
31,26,31,31.3,,,,,,,,
30,26,31,30.9,,,,,,,,
27,26,31,31.1,,,,,,,,
27,25,31,30.9,,,,,,,,
27,26,31,31.1,,,,,,,,
26,26,31,30.9,,,,,,,,
27,26,32,31.1,,,,,,,,
27,26,32,31.6,,,,,,,,
27,26,32,32,,,,,,,,
28,26,32,31.9,,,,,,,,
28,25,32,32,,,,,,,,
29,24,31,31.9,,,,,,,,
28,24,31,31.3,,,,,,,,
29,24,31,30.9,,,,,,,,
29,24,31,31.1,,,,,,,,
28,24,31,30.9,,,,,,,,
29,24,32,31.1,,,,,,,,
29,24,31,31.6,,,,,,,,
29,24,31,31.3,,,,,,,,
29,23,31,30.9,,,,,,,,
29,24,31,31.1,,,,,,,,
30,23,30,30.9,,,,,,,,
30,25,30,30.4,,,,,,,,
30,25,30,29.9,,,,,,,,
29,25,31,30.1,,,,,,,,
30,26,31,30.6,,,,,,,,
31,25,31,31.1,,,,,,,,
29,25,31,30.9,,,,,,,,
31,25,32,31.1,,,,,,,,
32,26,32,31.6,,,,,,,,
32,25,30,32,,,,,,,,
33,26,30,30.5,,,,,,,,
33,26,31,30.1,,,,,,,,
33,24,31,30.7,,,,,,,,
33,25,30,31.1,,,,,,,,
33,25,30,30.2,,,,,,,,
33,25,30,30.1,,,,,,,,
34,26,31,30,,,,,,,,
34,26,30,30.8,,,,,,,,
33,26,30,30.2,,,,,,,,
33,25,30,30.1,,,,,,,,
33,24,31,30,,,,,,,,
33,24,31,30.8,,,,,,,,
33,25,30,31,,,,,,,,
32,24,30,30.3,,,,,,,,
32,24,30,30,,,,,,,,
32,25,31,30.1,,,,,,,,
32,24,30,30.7,,,,,,,,
32,25,29,30.3,,,,,,,,
32,25,28,29.3,,,,,,,,
33,26,27,28.4,,,,,,,,
32,25,27,27.4,,,,,,,,
33,25,27,27.2,,,,,,,,
33,25,28,27.1,,,,,,,,
32,25,28,27.9,,,,,,,,
32,25,28,28.1,,,,,,,,
32,24,29,28.1,,,,,,,,
33,25,29,28.8,,,,,,,,
32,25,29,29.1,,,,,,,,
32,24,29,29,,,,,,,,
32,24,29,29.1,,,,,,,,
32,25,29,29,,,,,,,,
32,24,30,29.1,,,,,,,,
31,25,30,29.7,,,,,,,,
30,23,30,30.1,,,,,,,,
32,23,31,30,,,,,,,,
32,25,31,30.8,,,,,,,,
31,26,32,31,,,,,,,,
31,25,31,31.7,,,,,,,,
31,26,30,31.2,,,,,,,,
33,26,29,30.3,,,,,,,,
32,26,31,29.3,,,,,,,,
33,27,31,30.5,,,,,,,,
33,27,31,31,,,,,,,,
32,25,30,31,,,,,,,,
32,24,31,30.3,,,,,,,,
32,23,32,30.7,,,,,,,,
31,22,31,31.7,,,,,,,,
30,24,28,31.2,,,,,,,,
29,23,27,28.9,,,,,,,,
29,25,28,27.4,,,,,,,,
30,25,29,27.9,,,,,,,,
31,25,29,28.8,,,,,,,,
31,25,30,29.1,,,,,,,,
32,25,30,29.8,,,,,,,,
32,25,28,30.1,,,,,,,,
31,23,29,28.6,,,,,,,,
31,22,31,28.8,,,,,,,,
31,22,32,30.5,,,,,,,,
31,22,32,31.7,,,,,,,,
31,23,32,31.9,,,,,,,,
31,24,33,32,,,,,,,,
31,24,34,32.6,,,,,,,,
31,25,33,33.6,,,,,,,,
31,25,32,33.1,,,,,,,,
31,25,28,32.2,,,,,,,,
30,24,28,29.1,,,,,,,,
32,24,32,28.1,,,,,,,,
32,25,33,30.9,,,,,,,,
30,24,33,32.7,,,,,,,,
29,25,34,32.9,,,,,,,,
30,25,33,33.6,,,,,,,,
31,25,33,33.1,,,,,,,,
31,25,34,32.9,,,,,,,,
31,24,32,33.6,,,,,,,,
31,23,32,32.5,,,,,,,,
30,23,31,31.9,,,,,,,,
29,21,31,31.3,,,,,,,,
29,20,31,31,,,,,,,,
29,20,30,31,,,,,,,,
29,20,31,30.3,,,,,,,,
29,21,30,30.8,,,,,,,,
30,22,28,30.3,,,,,,,,
30,23,28,28.7,,,,,,,,
29,22,29,28.1,,,,,,,,
29,23,31,28.8,,,,,,,,
29,22,33,30.4,,,,,,,,
28,22,33,32.4,,,,,,,,
29,20,32,32.9,,,,,,,,
29,23,31,32.2,,,,,,,,
29,23,31,31.2,,,,,,,,
30,22,31,31,,,,,,,,
30,23,32,31,,,,,,,,
30,23,32,31.7,,,,,,,,
30,24,32,31.9,,,,,,,,
31,24,33,32,,,,,,,,
30,24,33,32.6,,,,,,,,
30,23,34,32.9,,,,,,,,
30,23,34,33.6,,,,,,,,
30,23,36,33.9,,,,,,,,
31,23,34,35.2,,,,,,,,
31,23,32,34.4,,,,,,,,
31,24,32,32.4,,,,,,,,
31,23,34,32,,,,,,,,
32,24,30,33.3,,,,,,,,
31,24,32,31.1,,,,,,,,
31,24,33,31.4,,,,,,,,
30,23,32,32.7,,,,,,,,
30,23,32,32.1,,,,,,,,
31,23,32,32,,,,,,,,
30,23,32,31.9,,,,,,,,
32,24,33,32,,,,,,,,
31,24,35,32.6,,,,,,,,
31,24,34,34.4,,,,,,,,
30,22,35,34.1,,,,,,,,
30,22,34,34.6,,,,,,,,
29,21,36,34.1,,,,,,,,
29,21,33,35.3,,,,,,,,
30,21,33,33.6,,,,,,,,
31,22,34,32.9,,,,,,,,
31,24,34,33.6,,,,,,,,
31,24,35,33.9,,,,,,,,
29,24,33,34.5,,,,,,,,
28,22,32,33.5,,,,,,,,
29,20,32,32.2,,,,,,,,
28,20,32,32,,,,,,,,
29,21,32,31.9,,,,,,,,
30,22,32,32,,,,,,,,
31,23,32,31.9,,,,,,,,
31,25,31,32,,,,,,,,
32,24,33,31.2,,,,,,,,
31,24,33,32.4,,,,,,,,
33,25,32,32.9,,,,,,,,
32,26,32,32.2,,,,,,,,
32,24,33,31.9,,,,,,,,
32,24,32,32.7,,,,,,,,
31,23,33,32.2,,,,,,,,
30,22,34,32.7,,,,,,,,
32,23,34,33.6,,,,,,,,
33,24,34,33.9,,,,,,,,
32,25,34,33.8,,,,,,,,
33,25,34,33.9,,,,,,,,
33,25,34,33.8,,,,,,,,
33,26,34,33.9,,,,,,,,
32,25,34,33.8,,,,,,,,
31,24,35,33.9,,,,,,,,
31,24,37,34.5,,,,,,,,
31,24,34,36.2,,,,,,,,
30,23,33,34.6,,,,,,,,
30,24,33,33.2,,,,,,,,
32,25,33,32.9,,,,,,,,
33,25,33,32.9,,,,,,,,
33,27,33,32.9,,,,,,,,
31,27,33,32.9,,,,,,,,
31,26,33,32.9,,,,,,,,
31,26,34,32.9,,,,,,,,
32,25,34,33.6,,,,,,,,
32,26,34,33.9,,,,,,,,
32,26,33,33.9,,,,,,,,
32,25,33,33.2,,,,,,,,
31,24,33,32.9,,,,,,,,
31,23,32,32.9,,,,,,,,
32,23,32,32.2,,,,,,,,
33,26,31,31.9,,,,,,,,
32,24,32,31.3,,,,,,,,
33,24,32,31.7,,,,,,,,
32,25,33,32,,,,,,,,
31,25,33,32.6,,,,,,,,
31,24,33,32.9,,,,,,,,
32,26,33,32.9,,,,,,,,
33,25,32,32.9,,,,,,,,
34,25,32,32.2,,,,,,,,
35,26,31,32,,,,,,,,
35,27,32,31.2,,,,,,,,
36,27,31,31.7,,,,,,,,
35,27,31,31.2,,,,,,,,
34,26,31,31,,,,,,,,
34,28,31,31,,,,,,,,
34,28,31,31,,,,,,,,
32,26,31,31,,,,,,,,
32,24,31,31,,,,,,,,
35,27,31,31,,,,,,,,
36,27,31,31,,,,,,,,
35,27,31,31,,,,,,,,
35,27,31,31,,,,,,,,
33,26,31,31,,,,,,,,
33,26,30,31,,,,,,,,
33,26,30,30.3,,,,,,,,
33,26,30,30,,,,,,,,
33,26,29,30,,,,,,,,
33,26,29,29.3,,,,,,,,
31,27,29,29.1,,,,,,,,
31,26,29,29.1,,,,,,,,
32,26,29,29.1,,,,,,,,
33,25,29,29.1,,,,,,,,
35,26,29,29.1,,,,,,,,
35,28,29,29.1,,,,,,,,
35,27,29,29.1,,,,,,,,
34,28,29,29.1,,,,,,,,
34,27,29,29.1,,,,,,,,
33,27,29,29.1,,,,,,,,
32,27,29,29.1,,,,,,,,
32,27,29,29.1,,,,,,,,
33,26,29,29.1,,,,,,,,
33,26,29,29.1,,,,,,,,
33,26,29,29.1,,,,,,,,
32,25,28,29.1,,,,,,,,
32,26,28,28.4,,,,,,,,
34,27,28,28.1,,,,,,,,
33,26,28,28.1,,,,,,,,
33,27,28,28.1,,,,,,,,
33,26,28,28.1,,,,,,,,
32,26,28,28.1,,,,,,,,
32,26,28,28.1,,,,,,,,
31,26,28,28.1,,,,,,,,
31,27,28,28.1,,,,,,,,
31,27,29,28.1,,,,,,,,
31,27,28,28.8,,,,,,,,
32,27,29,28.4,,,,,,,,
33,28,30,28.8,,,,,,,,
33,28,29,29.8,,,,,,,,
32,28,28,29.3,,,,,,,,
33,28,28,28.4,,,,,,,,
32,28,29,28.1,,,,,,,,
33,28,30,28.8,,,,,,,,
32,27,29,29.8,,,,,,,,
32,27,30,29.4,,,,,,,,
32,27,30,29.7,,,,,,,,
32,27,30,30.1,,,,,,,,
32,27,30,30,,,,,,,,
32,27,28,30.1,,,,,,,,
32,27,29,28.6,,,,,,,,
32,27,30,28.8,,,,,,,,
32,28,30,29.8,,,,,,,,
32,28,30,30,,,,,,,,
31,28,29,30,,,,,,,,
31,28,30,29.4,,,,,,,,
31,27,29,29.7,,,,,,,,
31,28,29,29.4,,,,,,,,
31,28,29,29,,,,,,,,
31,28,29,29.1,,,,,,,,
31,28,30,29,,,,,,,,
31,28,29,29.8,,,,,,,,
31,28,29,29.3,,,,,,,,
32,28,27,29.1,,,,,,,,
32,28,26,27.7,,,,,,,,
32,28,26,26.5,,,,,,,,
31,27,29,26.2,,,,,,,,
32,28,30,28.3,,,,,,,,
32,28,29,29.8,,,,,,,,
32,28,28,29.3,,,,,,,,
32,28,29,28.4,,,,,,,,
28,27,29,28.8,,,,,,,,
30,27,27,29.1,,,,,,,,
31,27,27,27.7,,,,,,,,
28,27,29,27.1,,,,,,,,
29,27,29,28.6,,,,,,,,
29,27,29,29.1,,,,,,,,
28,26,29,29.1,,,,,,,,
28,26,30,29.1,,,,,,,,
28,26,30,29.8,,,,,,,,
28,26,29,30,,,,,,,,
29,26,30,29.3,,,,,,,,
29,26,30,29.8,,,,,,,,
27,26,31,30,,,,,,,,
28,27,31,30.7,,,,,,,,
27,26,31,31,,,,,,,,
27,26,32,31,,,,,,,,
28,26,32,31.7,,,,,,,,
28,26,30,31.9,,,,,,,,
27,26,31,30.6,,,,,,,,
26,26,30,30.7,,,,,,,,
27,26,29,30.3,,,,,,,,
28,26,29,29.3,,,,,,,,
27,26,31,29.1,,,,,,,,
28,26,29,30.5,,,,,,,,
27,26,27,29.6,,,,,,,,
27,26,29,27.7,,,,,,,,
27,26,29,28.6,,,,,,,,
28,26,29,29.1,,,,,,,,
28,26,30,29.1,,,,,,,,
28,26,30,29.8,,,,,,,,
28,26,31,30,,,,,,,,
27,26,31,30.7,,,,,,,,
26,26,31,31,,,,,,,,
27,26,31,31,,,,,,,,
28,26,32,31,,,,,,,,
27,26,32,31.7,,,,,,,,
27,26,32,32,,,,,,,,
27,26,32,31.9,,,,,,,,
27,26,33,32,,,,,,,,
28,27,33,32.6,,,,,,,,
27,26,29,32.9,,,,,,,,
28,26,33,30.1,,,,,,,,
27,26,32,31.9,,,,,,,,
27,26,31,32.2,,,,,,,,
27,26,29,31.2,,,,,,,,
27,26,30,29.6,,,,,,,,
28,26,31,29.8,,,,,,,,
27,26,31,30.7,,,,,,,,
28,26,32,31,,,,,,,,
28,26,32,31.7,,,,,,,,
28,26,32,31.9,,,,,,,,
27,26,32,32,,,,,,,,
27,26,32,31.9,,,,,,,,
28,26,32,32,,,,,,,,
28,26,32,31.9,,,,,,,,
28,26,31,32,,,,,,,,
28,26,31,31.2,,,,,,,,
28,26,32,31,,,,,,,,
28,26,32,31.7,,,,,,,,
29,26,33,32,,,,,,,,
29,27,33,32.6,,,,,,,,
29,26,32,32.9,,,,,,,,
26,26,32,32.2,,,,,,,,
28,26,33,32,,,,,,,,
29,26,32,32.6,,,,,,,,
28,26,32,32.2,,,,,,,,
28,26,32,31.9,,,,,,,,
28,26,32,32,,,,,,,,
27,26,32,31.9,,,,,,,,
27,26,31,32,,,,,,,,
27,26,32,31.2,,,,,,,,
27,26,32,31.7,,,,,,,,
28,26,32,31.9,,,,,,,,
28,25,32,32,,,,,,,,
28,26,32,31.9,,,,,,,,
27,26,32,32,,,,,,,,
26,26,31,31.9,,,,,,,,
27,26,31,31.3,,,,,,,,
27,26,31,31,,,,,,,,
27,25,30,31,,,,,,,,
28,26,30,30.3,,,,,,,,
28,25,30,30,,,,,,,,
27,25,31,30,,,,,,,,
28,25,31,30.7,,,,,,,,
28,25,31,31,,,,,,,,
29,26,30,31,,,,,,,,
29,26,32,30.3,,,,,,,,
30,25,31,31.4,,,,,,,,
29,25,31,31.2,,,,,,,,
31,25,30,31,,,,,,,,
31,26,31,30.3,,,,,,,,
31,27,31,30.7,,,,,,,,
31,27,31,31,,,,,,,,
32,28,31,31,,,,,,,,
32,27,31,31,,,,,,,,
32,27,31,31,,,,,,,,
30,27,31,31,,,,,,,,
31,26,31,31,,,,,,,,
31,26,30,31,,,,,,,,
31,26,27,30.3,,,,,,,,
30,26,26,27.9,,,,,,,,
31,27,26,26.4,,,,,,,,
31,27,26,26.2,,,,,,,,
32,28,29,26.2,,,,,,,,
32,28,30,28.3,,,,,,,,
32,28,30,29.8,,,,,,,,
29,27,28,30,,,,,,,,
28,27,27,28.6,,,,,,,,
29,27,26,27.4,,,,,,,,
29,26,28,26.5,,,,,,,,
29,25,29,27.6,,,,,,,,
29,25,30,28.8,,,,,,,,
29,24,31,29.8,,,,,,,,
29,26,30,30.7,,,,,,,,
29,26,30,30.3,,,,,,,,
31,26,30,30,,,,,,,,
28,26,31,30,,,,,,,,
31,26,31,30.7,,,,,,,,
32,26,30,31,,,,,,,,
30,26,30,30.3,,,,,,,,
32,25,30,30,,,,,,,,
32,25,30,30,,,,,,,,
32,25,30,30,,,,,,,,
32,25,30,30,,,,,,,,
32,26,30,30,,,,,,,,
32,24,29,30,,,,,,,,
31,23,29,29.3,,,,,,,,
31,23,28,29.1,,,,,,,,
32,22,28,28.4,,,,,,,,
32,24,29,28.1,,,,,,,,
33,23,29,28.8,,,,,,,,
33,25,28,29.1,,,,,,,,
33,24,28,28.4,,,,,,,,
34,25,27,28.1,,,,,,,,
33,25,27,27.4,,,,,,,,
33,25,29,27.1,,,,,,,,
33,25,30,28.6,,,,,,,,
33,25,31,29.8,,,,,,,,
33,25,31,30.7,,,,,,,,
32,26,31,31,,,,,,,,
32,27,32,31,,,,,,,,
31,27,32,31.7,,,,,,,,
29,26,32,32,,,,,,,,
25,23,30,31.9,,,,,,,,
24,22,31,30.6,,,,,,,,
27,23,30,30.7,,,,,,,,
29,24,30,30.3,,,,,,,,
28,24,30,30,,,,,,,,
28,25,29,30,,,,,,,,
28,25,28,29.3,,,,,,,,
28,25,28,28.4,,,,,,,,
28,24,28,28.1,,,,,,,,
29,23,29,28.1,,,,,,,,
29,23,28,28.8,,,,,,,,
28,23,28,28.4,,,,,,,,
28,22,30,28.1,,,,,,,,
29,22,31,29.5,,,,,,,,
30,23,32,30.7,,,,,,,,
30,23,31,31.7,,,,,,,,
30,24,31,31.2,,,,,,,,
31,24,31,31,,,,,,,,
30,24,30,31,,,,,,,,
30,23,30,30.3,,,,,,,,
30,23,31,30,,,,,,,,
30,22,30,30.7,,,,,,,,
30,22,29,30.3,,,,,,,,
30,22,29,29.3,,,,,,,,
29,23,28,29.1,,,,,,,,
30,23,27,28.4,,,,,,,,
30,23,28,27.4,,,,,,,,
30,24,29,27.9,,,,,,,,
30,23,31,28.8,,,,,,,,
30,24,31,30.5,,,,,,,,
30,24,31,31,,,,,,,,
31,23,31,31,,,,,,,,
31,24,31,31,,,,,,,,
30,23,31,31,,,,,,,,
30,24,32,31,,,,,,,,
31,25,32,31.7,,,,,,,,
30,26,32,31.9,,,,,,,,
30,25,32,32,,,,,,,,
30,23,32,31.9,,,,,,,,
30,25,34,32,,,,,,,,
30,26,34,33.3,,,,,,,,
31,25,34,33.9,,,,,,,,
31,25,34,33.8,,,,,,,,
30,24,33,33.9,,,,,,,,
30,23,34,33.1,,,,,,,,
29,22,33,33.6,,,,,,,,
28,20,31,33.2,,,,,,,,
27,20,32,31.5,,,,,,,,
27,20,32,31.7,,,,,,,,
26,21,32,32,,,,,,,,
28,21,31,31.9,,,,,,,,
29,20,32,31.3,,,,,,,,
29,22,32,31.7,,,,,,,,
30,24,33,32,,,,,,,,
29,24,33,32.6,,,,,,,,
29,23,33,32.9,,,,,,,,
28,21,33,32.9,,,,,,,,
30,24,28,32.9,,,,,,,,
30,23,32,29.4,,,,,,,,
29,23,31,30.9,,,,,,,,
30,23,31,31.3,,,,,,,,
30,23,31,31,,,,,,,,
28,25,32,31,,,,,,,,
28,23,31,31.7,,,,,,,,
27,22,30,31.3,,,,,,,,
29,20,30,30.3,,,,,,,,
31,23,33,30,,,,,,,,
30,25,36,32.1,,,,,,,,
29,24,36,35,,,,,,,,
29,21,32,35.8,,,,,,,,
30,23,31,33,,,,,,,,
29,23,31,31.2,,,,,,,,
29,24,31,31,,,,,,,,
29,22,31,31,,,,,,,,
29,21,32,31,,,,,,,,
28,21,32,31.7,,,,,,,,
30,22,32,32,,,,,,,,
30,22,33,31.9,,,,,,,,
30,23,32,32.7,,,,,,,,
29,22,33,32.2,,,,,,,,
29,22,33,32.7,,,,,,,,
30,23,33,32.9,,,,,,,,
30,23,34,32.9,,,,,,,,
29,23,34,33.6,,,,,,,,
28,22,33,33.9,,,,,,,,
28,22,32,33.1,,,,,,,,
28,21,33,32.2,,,,,,,,
29,22,33,32.6,,,,,,,,
31,23,33,32.9,,,,,,,,
31,24,33,32.9,,,,,,,,
29,22,34,32.9,,,,,,,,
28,23,34,33.6,,,,,,,,
28,22,35,33.9,,,,,,,,
28,22,32,34.5,,,,,,,,
28,22,33,32.8,,,,,,,,
29,21,34,32.6,,,,,,,,
29,22,33,33.7,,,,,,,,
30,23,34,33.1,,,,,,,,
30,24,33,33.6,,,,,,,,
31,25,32,33.1,,,,,,,,
31,24,32,32.3,,,,,,,,
31,23,32,31.9,,,,,,,,
31,23,32,32,,,,,,,,
31,23,32,31.9,,,,,,,,
30,24,33,32,,,,,,,,
29,23,32,32.6,,,,,,,,
27,21,33,32.3,,,,,,,,
28,20,32,32.6,,,,,,,,
30,21,32,32.3,,,,,,,,
32,23,32,31.9,,,,,,,,
33,24,33,32,,,,,,,,
32,24,33,32.6,,,,,,,,
31,24,33,33,,,,,,,,
30,23,33,32.8,,,,,,,,
29,23,33,33,,,,,,,,
29,22,33,32.8,,,,,,,,
29,22,32,33,,,,,,,,
29,22,33,32.1,,,,,,,,
30,22,32,32.7,,,,,,,,
33,24,33,32.1,,,,,,,,
34,26,34,32.7,,,,,,,,
33,25,33,33.5,,,,,,,,
33,27,33,33.2,,,,,,,,
33,27,32,32.8,,,,,,,,
31,24,32,32.3,,,,,,,,
30,22,32,31.9,,,,,,,,
31,23,32,32,,,,,,,,
32,23,33,31.9,,,,,,,,
32,24,31,32.7,,,,,,,,
33,25,33,31.5,,,,,,,,
33,25,33,32.4,,,,,,,,
34,25,32,32.9,,,,,,,,
33,25,32,32.2,,,,,,,,
32,23,32,31.9,,,,,,,,
31,24,33,32,,,,,,,,
31,23,33,32.6,,,,,,,,
31,24,33,33,,,,,,,,
31,24,32,32.9,,,,,,,,
32,24,33,32.3,,,,,,,,
32,25,33,32.6,,,,,,,,
31,24,32,33,,,,,,,,
30,23,32,32.2,,,,,,,,
30,24,33,32,,,,,,,,
31,24,30,32.6,,,,,,,,
33,25,31,30.9,,,,,,,,
34,26,32,30.7,,,,,,,,
34,26,31,31.7,,,,,,,,
34,26,32,31.2,,,,,,,,
35,26,32,31.7,,,,,,,,
